id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25346963,Townhouse Apartment steps away from Central Park,51601657,Joe,Manhattan,Upper East Side,40.77741,-73.96258,Entire home/apt,325,30,259,2024-08-05,3.33,1,102,7,
25348369,Dec 15th Park Slope roommate wanted-3 mos.,702103,Sherry,Brooklyn,South Slope,40.66611,-73.98536,Private room,,30,0,,,1,0,0,
25350875,String lights home 1 min to subway,7772526,Ting Yi,Brooklyn,Bushwick,40.68714,-73.91556,Entire home/apt,160,30,184,2024-07-30,2.35,2,179,4,
25355282,Bed Available in Brooklyn,26996515,Will,Brooklyn,Bedford-Stuyvesant,40.68918,-73.9288,Shared room,,30,19,2018-09-30,0.24,2,0,0,
25356602,Cozy room 5 to 7 minutes from JFK airport.,123506305,Kisha,Queens,Springfield Gardens,40.66574,-73.77794,Private room,,30,7,2019-07-01,0.09,1,0,0,
25369739,Gowanus/Park Slope Garden Duplex w Washer/Dryer,16523946,Stacey,Brooklyn,Gowanus,40.6685,-73.99177,Entire home/apt,201,30,204,2024-08-12,2.64,1,212,6,
25371790,Huge Artist Loft Space - Red Hook,89106916,Gabriel,Brooklyn,Red Hook,40.67887,-74.00785,Entire home/apt,250,30,88,2022-10-23,1.13,1,0,0,
25374003,Spacious room brand new.Beautiful yard also avlble,191577969,Nikolas,Queens,Ditmars Steinway,40.78148,-73.918,Private room,,30,4,2018-10-27,0.05,1,0,0,
25379703,Amazing West Village Live like a local !!,191618352,Christopher,Manhattan,West Village,40.73208,-74.00562,Entire home/apt,,30,74,2020-01-04,0.95,1,0,0,
25416257,THE 602 SHOWROOM,26490270,The 6o2,Brooklyn,Prospect-Lefferts Gardens,40.66072,-73.94742,Entire home/apt,,30,0,,,1,0,0,
25416424,Spacious 1-Bedroom Apartment in Central Harlem,24549757,Elly,Manhattan,Harlem,40.81678,-73.93978,Entire home/apt,,80,5,2023-08-16,0.07,1,0,0,
